행정기관,인구수(계),인구수(남),인구수(여),구성비(계),구성비(남),구성비(여),성비,세대수,세대당인구,관리기관명,관리부서명,부서전화번호,데이터기준일자
의정부1동       ,31515 ,16078 ,15437 ,6.85,3.49,3.35,104.15,19338 ,1.63,의정부시,시민봉사과,031-828-2466,2020-12-02
의정부2동       ,31239 ,15480 ,15759 ,6.79,3.36,3.42,98.23,15879 ,1.97,의정부시,시민봉사과,031-828-2466,2020-12-02
호원1동         ,36297 ,17703 ,18594 ,7.88,3.85,4.04,95.21,15619 ,2.32,의정부시,시민봉사과,031-828-2466,2020-12-02
호원2동         ,35314 ,17124 ,18190 ,7.67,3.72,3.95,94.14,13598 ,2.6,의정부시,시민봉사과,031-828-2466,2020-12-02
장암동          ,20728 ,9880 ,10848 ,4.5,2.15,2.36,91.08,8662 ,2.39,의정부시,시민봉사과,031-828-2466,2020-12-02
신곡1동         ,44031 ,21676 ,22355 ,9.56,4.71,4.86,96.96,18091 ,2.43,의정부시,시민봉사과,031-828-2466,2020-12-02
신곡2동         ,48111 ,23335 ,24776 ,10.45,5.07,5.38,94.18,18897 ,2.55,의정부시,시민봉사과,031-828-2466,2020-12-02
송산1동         ,38065 ,18889 ,19176 ,8.27,4.1,4.17,98.5,16645 ,2.29,의정부시,시민봉사과,031-828-2466,2020-12-02
송산2동         ,33903 ,16781 ,17122 ,7.36,3.64,3.72,98.01,13108 ,2.59,의정부시,시민봉사과,031-828-2466,2020-12-02
송산3동         ,46547 ,22641 ,23906 ,10.11,4.92,5.19,94.71,17644 ,2.64,의정부시,시민봉사과,031-828-2466,2020-12-02
자금동          ,27163 ,13284 ,13879 ,5.9,2.89,3.01,95.71,11724 ,2.32,의정부시,시민봉사과,031-828-2466,2020-12-02
가능동          ,26129 ,13051 ,13078 ,5.68,2.83,2.84,99.79,12432 ,2.1,의정부시,시민봉사과,031-828-2466,2020-12-02
흥선동          ,19151 ,9656 ,9495 ,4.16,2.1,2.06,101.7,9295 ,2.06,의정부시,시민봉사과,031-828-2466,2020-12-02
녹양동          ,22197 ,11078 ,11119 ,4.82,2.41,2.42,99.63,9503 ,2.34,의정부시,시민봉사과,031-828-2466,2020-12-02
